Debit Card,2024-07-28 00:00:00,Utilities,Internet Provider,45,Wells Fargo,Internet service
Credit Card,2024-07-30 00:00:00,Health,Doctor,130,Chase,Doctor visit
Cash,2024-08-01 00:00:00,Entertainment,Sports Event,95,Cash,Game tickets
Debit Card,2024-08-03 00:00:00,Dining,Restaurant,85,Wells Fargo,Dinner out
Credit Card,2024-08-05 00:00:00,Transport,Bus Ticket,15,Chase,Bus fare
Cash,2024-08-07 00:00:00,Groceries,Farmers Market,50,Cash,Farm produce
Debit Card,2024-08-09 00:00:00,Utilities,Electric Company,80,Wells Fargo,Electricity bill
Credit Card,2024-08-11 00:00:00,Health,Gym,60,Chase,Gym fees
Cash,2024-08-13 00:00:00,Dining,Fast Food,20,Cash,Quick meal
Debit Card,2024-08-15 00:00:00,Groceries,Supermarket,100,Wells Fargo,Grocery run
Credit Card,2024-08-17 00:00:00,Utilities,Water Company,60,Chase,Water utility
Cash,2024-08-19 00:00:00,Rent,Property Manager,500,Cash,Monthly rent
Debit Card,2024-08-21 00:00:00,Insurance,Health Insurance,85,Wells Fargo,Insurance payment
Credit Card,2024-08-23 00:00:00,Entertainment,Movie Theater,25,Chase,Evening movie
Cash,2024-08-25 00:00:00,Dining,Cafe,25,Cash,Coffee outing
Debit Card,2024-08-27 00:00:00,Transport,Gas Station,50,Wells Fargo,Car refuel
Credit Card,2024-08-29 00:00:00,Health,Pharmacy,30,Chase,Medicines
Cash,2024-08-31 00:00:00,Entertainment,Concert,90,Cash,Concert night
Debit Card,2024-09-02 00:00:00,Groceries,Supermarket,95,Wells Fargo,Weekly groceries
Credit Card,2024-09-04 00:00:00,Utilities,Internet Provider,50,Chase,Internet bill
Cash,2024-09-06 00:00:00,Dining,Restaurant,75,Cash,Dinner with friends
Debit Card,2024-09-08 00:00:00,Transport,Bus Ticket,25,Wells Fargo,Bus fare
Credit Card,2024-09-10 00:00:00,Groceries,Grocery Store,70,Chase,Groceries shopping
Cash,2024-09-12 00:00:00,Health,Gym,55,Cash,Gym subscription
Debit Card,2024-09-14 00:00:00,Utilities,Electric Company,85,Wells Fargo,Electricity payment
Credit Card,2024-09-16 00:00:00,Health,Doctor,140,Chase,Health check-up
Cash,2024-09-18 00:00:00,Entertainment,Sports Event,100,Cash,Match tickets
Debit Card,2024-09-20 00:00:00,Dining,Restaurant,90,Wells Fargo,Evening meal
Credit Card,2024-09-22 00:00:00,Transport,Train Ticket,70,Chase,Train journey
Cash,2024-09-24 00:00:00,Groceries,Farmers Market,40,Cash,Market produce
Debit Card,2024-09-26 00:00:00,Health,Pharmacy,35,Wells Fargo,Health supplies
Credit Card,2024-09-28 00:00:00,Utilities,Water Company,65,Chase,Water payment
Cash,2024-09-30 00:00:00,Rent,Landlord,500,Cash,Monthly rent
Debit Card,2024-10-02 00:00:00,Insurance,Car Insurance,115,Wells Fargo,Insurance fee
Credit Card,2024-10-04 00:00:00,Entertainment,Concert,110,Chase,Concert ticket
Cash,2024-10-06 00:00:00,Dining,Cafe,35,Cash,Brunch outing
Debit Card,2024-10-08 00:00:00,Transport,Bus Ticket,30,Wells Fargo,Bus expense
Credit Card,2024-10-10 00:00:00,Groceries,Supermarket,85,Chase,Grocery expense
Cash,2024-10-12 00:00:00,Health,Doctor,150,Cash,Doctor visit fee
Debit Card,2024-10-14 00:00:00,Utilities,Internet Provider,55,Wells Fargo,Internet fee
